activity_column,class,rank,sensor,importance,n_samples
LL_Left_Arm,move,2,InertialMeasurementUnit_LLA_accX,0.02698760426048746,82887.0
LL_Left_Arm,move,3,InertialMeasurementUnit_LLA_magneticX,0.02501781148999148,82887.0
LL_Left_Arm,move,4,Accelerometer_LWR_accY,0.01994733692728132,82887.0
LL_Left_Arm,move,5,Accelerometer_LH_accY,0.015244360453525055,82887.0
LL_Left_Arm,move,6,InertialMeasurementUnit_LUA_magneticX,0.014073842544627459,82887.0
LL_Left_Arm,move,7,InertialMeasurementUnit_BACK_magneticZ,0.013298483821394322,82887.0
LL_Left_Arm,move,8,Accelerometer_LH_accZ,0.012491364522607042,82887.0
LL_Left_Arm,move,9,Accelerometer_LUA__accY,0.012415050005205697,82887.0
LL_Left_Arm,move,10,InertialMeasurementUnit_LLA_Quaternion1,0.012191870360190222,82887.0
LL_Left_Arm,open,1,InertialMeasurementUnit_LLA_magneticX,0.044235491575645325,10618.0
LL_Left_Arm,open,2,InertialMeasurementUnit_RUA_magneticY,0.03655000019548883,10618.0
LL_Left_Arm,open,3,InertialMeasurementUnit_BACK_magneticZ,0.034396256830388106,10618.0
LL_Left_Arm,open,4,InertialMeasurementUnit_RLA_magneticX,0.027159932763774847,10618.0
LL_Left_Arm,open,5,InertialMeasurementUnit_BACK_magneticX,0.021018692411210734,10618.0
LL_Left_Arm,open,6,InertialMeasurementUnit_LUA_magneticY,0.02035152019724468,10618.0
LL_Left_Arm,open,7,Accelerometer_FRIDGE_accY,0.019797923251379912,10618.0
LL_Left_Arm,open,8,InertialMeasurementUnit_LUA_magneticZ,0.018897183910126222,10618.0
LL_Left_Arm,open,9,InertialMeasurementUnit_LLA_magneticZ,0.018268168509961685,10618.0
LL_Left_Arm,open,10,InertialMeasurementUnit_LLA_accX,0.018185961417511307,10618.0
LL_Left_Arm,reach,1,InertialMeasurementUnit_LUA_magneticX,0.021196328115107015,16674.0
LL_Left_Arm,reach,2,InertialMeasurementUnit_LUA_gyroZ,0.019606909446140363,16674.0
LL_Left_Arm,reach,3,InertialMeasurementUnit_LUA_gyroY,0.019027497730421707,16674.0
LL_Left_Arm,reach,4,InertialMeasurementUnit_LLA_accZ,0.013862434728859938,16674.0
LL_Left_Arm,reach,5,InertialMeasurementUnit_LUA_magneticY,0.013458485859609865,16674.0
LL_Left_Arm,reach,6,InertialMeasurementUnit_BACK_gyroX,0.011613481091185747,16674.0
LL_Left_Arm,reach,7,InertialMeasurementUnit_LUA_magneticZ,0.011233977319168819,16674.0
LL_Left_Arm,reach,8,InertialMeasurementUnit_LLA_accX,0.010918216067758241,16674.0
LL_Left_Arm,reach,9,InertialMeasurementUnit_LLA_magneticX,0.010702862029038347,16674.0
LL_Left_Arm,reach,10,Accelerometer_LWR_accY,0.010538772063576176,16674.0
LL_Left_Arm,release,1,InertialMeasurementUnit_LUA_gyroY,0.030143814285371776,9947.0
LL_Left_Arm,release,2,InertialMeasurementUnit_LUA_gyroZ,0.029078299638304963,9947.0
LL_Left_Arm,release,3,InertialMeasurementUnit_LLA_accX,0.015834990255378115,9947.0
LL_Left_Arm,release,4,Accelerometer_LH_accY,0.015611334707016563,9947.0
LL_Left_Arm,release,5,InertialMeasurementUnit_LLA_gyroY,0.014654630525328192,9947.0
LL_Left_Arm,release,6,InertialMeasurementUnit_LLA_gyroX,0.013174873735940434,9947.0
LL_Left_Arm,release,7,InertialMeasurementUnit_LLA_gyroZ,0.012930429332219042,9947.0
LL_Left_Arm,release,8,Accelerometer_LWR_accY,0.012751295855975415,9947.0
LL_Left_Arm,release,9,InertialMeasurementUnit_LLA_accZ,0.012748292194731392,9947.0
LL_Left_Arm,release,10,InertialMeasurementUnit_BACK_gyroZ,0.010808989138857751,9947.0
LL_Left_Arm,sip,1,InertialMeasurementUnit_LUA_accY,0.09244715862431356,727.0
LL_Left_Arm,sip,2,InertialMeasurementUnit_LLA_accX,0.06544503009328184,727.0
LL_Left_Arm,sip,3,InertialMeasurementUnit_LUA_accX,0.052055773825913414,727.0
LL_Left_Arm,sip,4,Accelerometer_LUA^_accY,0.04365560101219446,727.0
LL_Left_Arm,sip,5,InertialMeasurementUnit_LUA_magneticX,0.0416842989779658,727.0
LL_Left_Arm,sip,6,InertialMeasurementUnit_LUA_magneticZ,0.03792453972004552,727.0
LL_Left_Arm,sip,7,Accelerometer_LWR_accY,0.03380750745946023,727.0
LL_Left_Arm,sip,8,InertialMeasurementUnit_BACK_magneticZ,0.0330788654513215,727.0
LL_Left_Arm,sip,9,Accelerometer_LH_accY,0.023614784020494387,727.0
LL_Left_Arm,sip,10,Accelerometer_SALAMI_accX_3,0.021484854879448394,727.0
LL_Left_Arm_Object,_overall,1,LOCATION_TAG1_X,0.028964654315525938,
LL_Left_Arm_Object,_overall,2,LOCATION_TAG4_X,0.02594632435638967,
LL_Left_Arm_Object,_overall,3,InertialMeasurementUnit_BACK_magneticX,0.020831715653732496,
LL_Left_Arm_Object,_overall,4,LOCATION_TAG1_Y,0.019272167622094896,
LL_Left_Arm_Object,_overall,5,InertialMeasurementUnit_LLA_magneticX,0.016838167586017177,
LL_Left_Arm_Object,_overall,6,LOCATION_TAG4_Y,0.013880143688108006,
LL_Left_Arm_Object,_overall,7,LOCATION_TAG2_Y,0.012657964304373145,
LL_Left_Arm_Object,_overall,8,Accelerometer_KNIFE2_accX,0.012310411843145741,
LL_Left_Arm_Object,_overall,9,InertialMeasurementUnit_BACK_magneticZ,0.011999497005990057,
LL_Left_Arm_Object,_overall,10,InertialMeasurementUnit_LUA_magneticX,0.011967685685577404,
LL_Left_Arm_Object,Bottle,1,Accelerometer_WATER_accX_3,0.0652585958617691,4919.0
LL_Left_Arm_Object,Bottle,2,Accelerometer_WATER_accX_2,0.061640252053411275,4919.0
LL_Left_Arm_Object,Bottle,3,Accelerometer_WATER_accX,0.05550285043197181,4919.0
LL_Left_Arm_Object,Bottle,4,InertialMeasurementUnit_RLA_magneticY,0.022512162994730918,4919.0
LL_Left_Arm_Object,Bottle,5,Accelerometer_SALAMI_accX,0.01784628162425492,4919.0
LL_Left_Arm_Object,Bottle,6,LOCATION_TAG4_X,0.01753057797034367,4919.0
LL_Left_Arm_Object,Bottle,7,InertialMeasurementUnit_BACK_Quaternion2,0.016480154951704865,4919.0
LL_Left_Arm_Object,Bottle,8,Accelerometer_CUP_accX,0.015814112552347808,4919.0
LL_Left_Arm_Object,Bottle,9,Accelerometer_BREAD_accX_3,0.015204918123500626,4919.0
LL_Left_Arm_Object,Bottle,10,InertialMeasurementUnit_RLA_accX,0.013943919822685771,4919.0
LL_Left_Arm_Object,Bread,1,LOCATION_TAG1_X,0.04960089450825787,29005.0
LL_Left_Arm_Object,Bread,2,LOCATION_TAG4_X,0.04149027992515244,29005.0
LL_Left_Arm_Object,Bread,3,InertialMeasurementUnit_LLA_magneticX,0.022576919085897002,29005.0
LL_Left_Arm_Object,Bread,4,LOCATION_TAG1_Y,0.021978506029477124,29005.0
LL_Left_Arm_Object,Bread,5,InertialMeasurementUnit_LUA_magneticX,0.01967207208745799,29005.0
LL_Left_Arm_Object,Bread,6,InertialMeasurementUnit_LUA_Quaternion3,0.01815877574707494,29005.0
LL_Left_Arm_Object,Bread,7,InertialMeasurementUnit_BACK_magneticZ,0.016760991126738234,29005.0
LL_Left_Arm_Object,Bread,8,LOCATION_TAG4_Y,0.015307961414255514,29005.0
LL_Left_Arm_Object,Bread,9,Accelerometer_KNIFE1_accX,0.015174233322879378,29005.0
LL_Left_Arm_Object,Bread,10,Accelerometer_BREAD_gyroX,0.0148568617514208,29005.0
LL_Left_Arm_Object,Chair,1,LOCATION_TAG4_X,0.06265638472939183,753.0
LL_Left_Arm_Object,Chair,2,InertialMeasurementUnit_LLA_magneticY,0.053297554768611394,753.0
LL_Left_Arm_Object,Chair,3,InertialMeasurementUnit_LLA_accX,0.04888837783834731,753.0
LL_Left_Arm_Object,Chair,4,InertialMeasurementUnit_RUA_magneticY,0.04333503260074659,753.0
LL_Left_Arm_Object,Chair,5,InertialMeasurementUnit_BACK_magneticZ,0.038157564990418204,753.0
LL_Left_Arm_Object,Chair,6,InertialMeasurementUnit_RLA_magneticY,0.034227054475611134,753.0
LL_Left_Arm_Object,Chair,7,InertialMeasurementUnit_BACK_magneticX,0.028631418412547044,753.0
LL_Left_Arm_Object,Chair,8,LOCATION_TAG1_Y,0.027926836737168993,753.0
LL_Left_Arm_Object,Chair,9,InertialMeasurementUnit_RLA_accX,0.02737851701997884,753.0
LL_Left_Arm_Object,Chair,10,InertialMeasurementUnit_LUA_magneticY,0.0261951528078365,753.0
LL_Left_Arm_Object,Cheese,1,Accelerometer_CHEESE_accX_3,0.0735852046809609,9850.0
LL_Left_Arm_Object,Cheese,2,InertialMeasurementUnit_LLA_magneticX,0.042135297476853725,9850.0
LL_Left_Arm_Object,Cheese,3,Accelerometer_CHEESE_accX,0.040488211197452086,9850.0
LL_Left_Arm_Object,Cheese,4,Accelerometer_CHEESE_accX_2,0.03301427065203805,9850.0
LL_Left_Arm_Object,Cheese,5,InertialMeasurementUnit_LUA_magneticX,0.02854298554406439,9850.0
LL_Left_Arm_Object,Cheese,6,LOCATION_TAG3_X,0.02294001212344088,9850.0
LL_Left_Arm_Object,Cheese,7,InertialMeasurementUnit_LUA_magneticY,0.021291943963074086,9850.0
LL_Left_Arm_Object,Cheese,8,Accelerometer_SALAMI_accX_3,0.01648404162974138,9850.0
LL_Left_Arm_Object,Cheese,9,Accelerometer_CHEESE_gyroY,0.013851276197903573,9850.0
LL_Left_Arm_Object,Cheese,10,Accelerometer_KNIFE1_accX_3,0.013447326894820649,9850.0
LL_Left_Arm_Object,Cup,1,InertialMeasurementUnit_LLA_magneticY,0.03599311403043334,10265.0
LL_Left_Arm_Object,Cup,2,Accelerometer_KNIFE2_accX_2,0.026567707784240415,10265.0
LL_Left_Arm_Object,Cup,3,Accelerometer_SPOON_accX,0.01774326623106244,10265.0
LL_Left_Arm_Object,Cup,4,Accelerometer_CUP_accX,0.017606609665745523,10265.0
